Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,KT,0.4,5,1,2,0,0,0,1,0,0,0,0,0,0,0.4
2018,3.25,KT,0.667,3,2,2,0,0,0,0,1,0,0,1,1,0,0.5
2018,3.27,»ï¼º,0.75,4,4,3,0,0,1,2,1,0,1,0,1,0,0.583
2018,3.28,»ï¼º,0.25,4,0,1,1,0,0,0,0,0,0,0,0,0,0.5
2018,3.29,»ï¼º,0.25,4,0,1,0,0,0,0,0,1,0,0,2,0,0.45
2018,3.3,LG,0.4,5,1,2,0,0,0,1,2,0,0,0,1,0,0.44
2018,3.31,LG,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.379
2018,4.01,LG,0.5,4,1,2,0,0,1,3,0,0,1,0,0,1,0.394
2018,4.03,SK,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.351
2018,4.04,SK,0.167,6,1,1,1,0,0,1,0,0,0,0,1,0,0.326
2018,4.06,³Ø¼¾,0.333,3,2,1,0,0,0,0,0,0,1,0,0,0,0.326
2018,4.07,³Ø¼¾,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326
2018,4.08,³Ø¼¾,0.25,4,1,1,0,0,1,1,0,0,0,0,0,0,0.32
2018,4.1,ÇÑÈ­,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0.296
2018,4.11,ÇÑÈ­,0.333,3,1,1,0,0,0,0,1,0,1,0,1,0,0.298
2018,4.12,ÇÑÈ­,0.333,3,0,1,0,0,0,0,1,0,0,0,1,0,0.3
2018,4.13,·Ôµ¥,0.25,4,1,1,0,0,1,2,0,0,0,0,1,0,0.297
2018,4.17,LG,0.2,5,2,1,0,0,0,0,0,0,0,0,0,1,0.29
2018,4.18,LG,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.274
2018,4.19,LG,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0.263
2018,4.2,µÎ»ê,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.263
2018,4.21,µÎ»ê,0.2,5,1,1,0,0,0,0,0,0,0,0,2,0,0.259
2018,4.22,µÎ»ê,0.8,5,4,4,1,0,1,2,0,0,1,0,0,0,0.289
2018,4.25,ÇÑÈ­,0.25,4,0,1,0,0,0,0,0,0,0,0,1,0,0.287
2018,4.26,ÇÑÈ­,0.4,5,0,2,0,0,0,0,0,0,0,0,0,0,0.293
2018,4.27,KT,0.2,5,1,1,0,0,1,2,0,0,0,0,2,0,0.288
2018,4.28,KT,0.25,4,1,1,0,0,1,1,0,0,0,0,1,0,0.287
2018,4.29,KT,0.4,5,1,2,1,0,0,0,0,0,0,0,0,0,0.292
2018,5.01,·Ôµ¥,0.667,3,0,2,0,0,0,0,1,1,1,0,0,0,0.302
2018,5.02,·Ôµ¥,0.2,5,1,1,1,0,0,1,0,0,1,0,1,0,0.298
2018,5.03,·Ôµ¥,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0.288
2018,5.04,NC,0.4,5,0,2,0,0,0,0,0,0,0,0,1,0,0.292
2018,5.05,NC,0.5,4,2,2,0,1,0,2,0,0,0,1,0,0,0.299
2018,5.06,NC,0.25,4,1,1,0,0,0,0,1,0,1,0,0,1,0.297
2018,5.08,µÎ»ê,0.667,3,2,2,1,0,0,1,1,0,2,0,0,0,0.305
2018,5.09,µÎ»ê,0.5,4,0,2,0,0,0,1,0,0,0,0,1,0,0.31
2018,5.1,µÎ»ê,0.2,5,1,1,0,0,0,0,1,0,1,0,1,0,0.307
2018,5.11,»ï¼º,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.299
2018,5.13,»ï¼º,0.25,4,0,1,0,0,0,1,1,1,0,1,0,1,0.297
2018,5.15,³Ø¼¾,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.29
2018,5.29,³Ø¼¾,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.283
2018,5.3,³Ø¼¾,0.25,4,0,1,0,0,0,0,1,0,1,0,0,0,0.282
2018,5.31,³Ø¼¾,0.333,3,2,1,0,0,0,0,2,0,1,0,0,0,0.283
2018,6.01,µÎ»ê,0.5,2,0,1,0,0,0,0,0,1,1,0,1,0,0.286
2018,6.02,µÎ»ê,0.333,3,0,1,0,0,0,0,0,0,1,0,0,0,0.287
2018,6.03,µÎ»ê,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0.291
2018,6.05,KT,0.6,5,2,3,1,0,0,1,1,0,0,0,1,0,0.299
2018,6.06,KT,0.4,5,1,2,0,0,1,2,1,0,0,0,3,0,0.302
2018,6.07,KT,0.333,3,0,1,0,0,0,0,0,0,1,0,0,0,0.302
2018,6.08,·Ôµ¥,0.2,5,1,1,0,0,1,1,0,0,0,0,0,1,0.299
2018,6.09,·Ôµ¥,0.4,5,0,2,0,0,0,0,1,0,0,0,1,0,0.302
2018,6.12,SK,0.5,2,2,1,0,0,0,0,1,0,1,1,1,0,0.304
2018,6.13,SK,0.2,5,1,1,0,0,1,1,0,0,0,0,2,0,0.301
2018,6.14,SK,0.2,5,0,1,0,0,0,0,0,0,0,0,2,0,0.299
2018,6.15,LG,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.294
2018,6.16,LG,0.25,4,0,1,0,0,0,0,0,0,0,0,1,0,0.293
2018,6.17,LG,1,3,1,3,0,0,0,0,1,0,2,0,0,0,0.302
2018,6.2,NC,0.4,5,1,2,0,0,0,0,0,0,0,0,2,0,0.304
2018,6.21,NC,0.2,5,1,1,0,0,0,0,1,0,0,0,0,0,0.302
2018,6.22,³Ø¼¾,0.6,5,2,3,0,0,1,3,0,0,0,0,1,0,0.308
2018,6.23,³Ø¼¾,0.25,4,0,1,0,0,0,0,0,1,0,0,0,0,0.307
2018,6.24,³Ø¼¾,0.333,6,1,2,1,0,0,0,0,0,0,0,1,0,0.308
2018,6.27,SK,0.5,4,1,2,1,0,1,1,0,0,0,0,0,0,0.311
2018,6.29,µÎ»ê,0,3,1,0,0,0,0,0,0,0,3,0,1,0,0.307
2018,6.3,µÎ»ê,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0.304
2018,7.03,ÇÑÈ­,0,2,2,0,0,0,0,1,1,0,2,0,0,0,0.302
2018,7.04,ÇÑÈ­,0.2,5,0,1,0,0,0,0,0,0,0,0,2,0,0.3
2018,7.06,LG,0.5,4,1,2,1,0,0,0,0,0,2,0,2,0,0.303
2018,7.07,LG,0.2,5,1,1,0,0,1,2,0,0,0,0,2,0,0.301
2018,7.08,LG,0.333,3,1,1,0,0,0,0,2,0,1,0,0,1,0.301
2018,7.1,NC,0.5,4,3,2,0,0,2,3,0,0,1,0,0,0,0.304
2018,7.11,NC,0.5,2,0,1,0,0,0,0,0,0,0,0,1,0,0.305
