Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,·Ôµ¥,0.2,5,0,1,0,0,0,2,1,0,0,0,2,0,0.2
2018,3.25,·Ôµ¥,0.5,2,1,1,1,0,0,0,0,0,2,0,1,0,0.286
2018,3.27,KT,0.2,5,2,1,0,0,1,1,1,0,0,0,1,0,0.25
2018,3.28,KT,0.75,4,1,3,1,0,0,0,1,0,0,0,1,0,0.375
2018,3.29,KT,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.3
2018,3.3,ÇÑÈ­,0,4,1,0,0,0,0,0,0,0,1,0,3,0,0.25
2018,3.31,ÇÑÈ­,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0.222
2018,4.01,ÇÑÈ­,0.6,5,3,3,0,0,3,3,0,0,1,0,1,0,0.281
2018,4.03,KIA,0.25,4,2,1,0,0,1,3,0,0,1,0,1,0,0.278
2018,4.04,KIA,0.4,5,2,2,1,0,0,2,0,0,0,0,2,0,0.293
2018,4.07,»ï¼º,0.25,4,1,1,0,0,0,0,0,0,1,0,0,0,0.289
2018,4.08,»ï¼º,0.333,3,1,1,0,0,0,0,0,0,1,0,0,0,0.292
2018,4.11,LG,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0.275
2018,4.12,LG,0.25,4,1,1,0,0,0,0,0,0,0,0,2,1,0.273
2018,4.13,NC,0.667,3,0,2,1,0,0,3,0,0,0,1,1,0,0.293
2018,4.14,NC,0.333,3,2,1,0,0,1,1,0,0,2,0,1,0,0.295
2018,4.15,NC,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.277
2018,4.17,KT,0.333,3,1,1,0,0,0,0,2,0,2,1,1,0,0.279
2018,4.18,KT,0.6,5,2,3,0,0,2,2,0,0,0,0,0,0,0.301
2018,4.19,KT,0.25,4,2,1,0,0,1,2,0,0,0,0,3,0,0.299
2018,4.2,·Ôµ¥,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0.284
2018,4.21,·Ôµ¥,0.2,5,1,1,0,0,1,3,0,0,0,0,1,0,0.279
2018,4.22,·Ôµ¥,0.25,4,1,1,1,0,0,0,0,0,1,0,2,0,0.278
2018,4.24,µÎ»ê,0.333,6,1,2,1,0,1,3,0,0,0,0,2,0,0.281
2018,4.25,µÎ»ê,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0.27
2018,4.26,µÎ»ê,0.667,3,2,2,0,0,2,3,0,0,1,0,1,0,0.282
2018,4.27,³Ø¼¾,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0.276
2018,4.28,³Ø¼¾,0.2,5,0,1,1,0,0,2,0,0,0,0,3,0,0.273
2018,4.29,³Ø¼¾,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0.265
2018,5.01,»ï¼º,0.4,5,2,2,0,0,1,1,0,0,0,1,1,0,0.271
2018,5.02,»ï¼º,0.5,4,1,2,0,0,0,0,0,0,1,0,2,0,0.279
2018,5.03,»ï¼º,0.25,4,1,1,0,0,1,1,0,0,0,0,3,0,0.278
2018,5.04,·Ôµ¥,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0.271
2018,5.05,·Ôµ¥,0.5,4,0,2,1,0,0,0,0,0,0,0,2,0,0.278
2018,5.08,NC,0.25,4,0,1,0,0,0,0,0,0,0,0,3,0,0.277
2018,5.09,NC,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.275
2018,5.1,NC,0.25,4,1,1,0,0,1,2,0,0,1,0,1,0,0.275
2018,5.11,LG,0.4,5,1,2,0,0,1,3,0,0,0,0,2,1,0.279
2018,5.13,LG,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0.273
2018,5.15,µÎ»ê,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0.278
2018,5.16,µÎ»ê,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.271
2018,5.18,KIA,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0.266
2018,5.19,KIA,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.261
2018,5.2,KIA,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.255
2018,5.22,³Ø¼¾,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0.251
2018,5.23,³Ø¼¾,0.667,3,2,2,0,0,0,0,0,0,0,1,0,0,0.259
2018,5.24,³Ø¼¾,0.5,2,0,1,0,0,0,0,0,0,1,1,0,0,0.262
2018,5.25,ÇÑÈ­,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0.257
2018,5.26,ÇÑÈ­,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0.25
2018,5.27,ÇÑÈ­,0.25,4,0,1,0,0,0,1,0,0,0,1,0,0,0.25
2018,5.3,µÎ»ê,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.245
2018,5.31,µÎ»ê,0.333,3,0,1,0,0,0,0,0,0,1,0,1,0,0.246
2018,6.01,KT,0.333,3,2,1,0,0,1,1,0,0,1,0,1,0,0.247
2018,6.02,KT,0.75,4,2,3,1,0,1,1,0,0,0,0,0,0,0.258
2018,6.03,KT,0.333,3,1,1,0,0,0,0,0,0,1,0,2,0,0.259
2018,6.05,»ï¼º,0.333,3,1,1,0,0,1,2,0,0,1,0,2,0,0.26
2018,6.06,»ï¼º,0.25,4,1,1,0,0,1,2,0,0,0,0,2,0,0.26
2018,6.07,»ï¼º,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0.255
2018,6.08,ÇÑÈ­,0.2,5,1,1,0,0,1,1,0,0,0,0,0,0,0.253
2018,6.09,ÇÑÈ­,0.25,4,1,1,1,0,0,0,0,0,0,1,1,0,0.253
2018,6.1,ÇÑÈ­,0.5,4,2,2,0,0,0,0,0,0,0,0,1,0,0.258
2018,6.12,KIA,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0.253
2018,6.13,KIA,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0.25
2018,6.14,KIA,0.25,4,1,1,0,0,1,1,0,0,0,0,0,0,0.25
2018,6.15,·Ôµ¥,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0.248
2018,6.16,·Ôµ¥,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.245
2018,6.17,·Ôµ¥,1,2,1,2,0,0,1,2,0,0,1,0,0,0,0.251
2018,6.27,KIA,0.333,3,1,1,1,0,0,0,0,0,0,0,1,0,0.252
2018,6.29,LG,0.5,2,2,1,0,0,0,0,0,0,0,2,1,0,0.254
2018,6.3,LG,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.251
2018,7.03,³Ø¼¾,0.4,5,2,2,0,0,2,2,0,0,0,0,2,0,0.254
2018,7.04,³Ø¼¾,0.2,5,0,1,0,0,0,0,0,0,1,0,1,0,0.253
2018,7.05,³Ø¼¾,0.5,4,0,2,1,0,0,1,0,0,0,0,1,0,0.257
2018,7.06,ÇÑÈ­,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.257
2018,7.07,ÇÑÈ­,0.25,4,1,1,0,0,1,2,0,0,0,0,0,0,0.256
