Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,»ï¼º,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
2018,3.25,»ï¼º,0.25,4,0,1,0,0,0,1,0,0,0,0,1,0,0.125
2018,3.27,·Ôµ¥,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0.091
2018,3.28,·Ôµ¥,0.5,2,1,1,0,0,1,2,0,0,0,2,0,0,0.154
2018,3.29,·Ôµ¥,0.25,4,1,1,0,0,0,1,0,0,0,0,1,0,0.176
2018,3.3,KT,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0.15
2018,3.31,KT,0.4,5,2,2,0,0,1,2,0,0,0,0,3,0,0.2
2018,4.01,KT,0,4,0,0,0,0,0,1,0,0,1,0,2,0,0.172
2018,4.03,LG,0.5,2,1,1,0,0,0,0,0,0,1,0,0,0,0.194
2018,4.07,NC,0.5,2,1,1,0,0,1,1,0,0,3,0,0,0,0.212
2018,4.08,NC,1,3,3,3,1,0,0,1,0,0,3,0,0,0,0.278
2018,4.1,»ï¼º,0.5,4,1,2,0,0,1,2,0,0,0,0,2,0,0.3
2018,4.11,»ï¼º,0.25,4,1,1,1,0,0,1,1,0,1,0,2,0,0.295
2018,4.12,»ï¼º,0.5,4,2,2,1,0,1,1,0,0,1,0,1,0,0.313
2018,4.13,³Ø¼¾,0.25,4,1,1,0,0,0,1,0,0,1,0,0,1,0.308
2018,4.14,³Ø¼¾,0.5,4,1,2,1,0,1,3,0,0,0,0,0,0,0.321
2018,4.15,³Ø¼¾,0.5,2,0,1,1,0,0,0,0,0,2,0,0,0,0.328
2018,4.17,ÇÑÈ­,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0.306
2018,4.18,ÇÑÈ­,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.297
2018,4.19,ÇÑÈ­,0.75,4,1,3,0,0,0,0,0,0,0,0,0,0,0.324
2018,4.2,KIA,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.306
2018,4.21,KIA,0.25,4,1,1,0,0,1,3,0,0,0,0,0,0,0.303
2018,4.22,KIA,0.333,3,0,1,0,0,0,0,0,0,0,0,0,0,0.304
2018,4.24,SK,0.2,5,1,1,0,0,0,0,0,0,0,0,2,0,0.298
2018,4.25,SK,0.25,4,0,1,0,0,0,0,0,0,0,0,1,0,0.295
2018,4.26,SK,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.286
2018,4.27,NC,0.333,3,1,1,0,0,1,1,0,0,1,0,1,0,0.287
2018,4.28,NC,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.278
2018,4.29,NC,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.265
2018,5.01,KT,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0.257
2018,5.03,KT,0.2,5,1,1,0,0,1,1,0,0,0,0,2,0,0.255
2018,5.04,LG,0.4,5,1,2,1,1,0,1,0,0,0,0,1,0,0.261
2018,5.05,LG,0.5,4,1,2,0,0,1,2,0,0,0,0,1,0,0.269
2018,5.06,LG,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0.264
2018,5.08,KIA,0.333,3,0,1,0,0,0,0,0,0,0,0,1,0,0.266
2018,5.09,KIA,0.4,5,2,2,0,0,0,0,0,0,0,0,1,0,0.271
2018,5.1,KIA,0.667,6,0,4,1,0,0,2,0,0,0,0,0,0,0.289
2018,5.11,³Ø¼¾,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0.283
2018,5.13,³Ø¼¾,0.5,4,0,2,1,0,0,1,0,0,0,0,1,0,0.289
2018,5.15,SK,0.4,5,2,2,0,0,1,2,0,0,0,0,2,0,0.293
2018,5.16,SK,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0.285
2018,5.18,·Ôµ¥,0.2,5,0,1,1,0,0,0,0,0,0,0,2,0,0.282
2018,5.19,·Ôµ¥,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0.291
2018,5.2,·Ôµ¥,0.25,4,1,1,1,0,0,2,0,0,1,0,1,0,0.29
2018,5.22,ÇÑÈ­,0.2,5,1,1,0,0,0,0,0,0,1,0,1,0,0.287
2018,5.23,ÇÑÈ­,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.281
2018,5.24,ÇÑÈ­,0.333,3,1,1,0,0,1,4,0,0,0,0,1,0,0.282
2018,5.25,»ï¼º,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0.277
2018,5.26,»ï¼º,0.2,5,2,1,1,0,0,0,0,0,0,0,1,0,0.275
2018,5.27,»ï¼º,0.5,4,1,2,2,0,0,2,0,0,0,0,0,0,0.28
2018,5.3,SK,0.25,4,1,1,1,0,0,1,0,0,0,0,1,1,0.279
2018,5.31,SK,0.333,3,0,1,1,0,0,0,0,0,1,0,1,0,0.28
2018,6.01,KIA,0.5,4,2,2,1,0,1,1,0,0,0,0,1,0,0.284
2018,6.02,KIA,0.2,5,1,1,0,0,1,1,0,0,0,0,0,0,0.282
2018,6.03,KIA,0.5,6,2,3,0,0,2,6,0,0,0,0,1,0,0.288
2018,6.05,³Ø¼¾,0.25,4,1,1,0,0,1,3,0,0,0,0,0,0,0.288
2018,6.06,³Ø¼¾,0.6,5,2,3,0,0,2,3,0,0,0,0,0,0,0.295
2018,6.07,³Ø¼¾,0.333,3,2,1,0,0,1,1,0,0,1,0,0,0,0.295
2018,6.08,NC,0.5,4,1,2,0,0,1,3,0,0,0,0,0,0,0.299
2018,6.09,NC,0.5,4,0,2,0,0,0,0,0,0,0,0,2,0,0.303
2018,6.1,NC,0.25,4,0,1,1,0,0,0,0,0,0,0,1,0,0.302
2018,6.12,KT,0.333,3,0,1,0,0,0,0,0,0,1,0,0,0,0.302
2018,6.13,KT,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.301
2018,6.14,KT,0.25,4,1,1,0,0,1,2,0,0,0,0,0,0,0.3
2018,6.15,ÇÑÈ­,0.6,5,1,3,0,0,1,2,0,0,0,0,0,0,0.306
2018,6.16,ÇÑÈ­,0.5,4,1,2,1,0,0,0,0,0,1,0,2,0,0.31
2018,6.17,ÇÑÈ­,0.333,3,2,1,0,0,0,0,0,0,1,0,1,0,0.31
2018,6.19,³Ø¼¾,0.667,3,0,2,1,0,0,1,0,0,2,0,1,0,0.314
2018,6.2,³Ø¼¾,0.4,5,1,2,0,0,0,0,0,0,0,0,1,0,0.316
2018,6.21,³Ø¼¾,0.5,2,1,1,0,0,1,3,0,0,1,0,0,0,0.317
2018,6.22,»ï¼º,0.75,4,0,3,0,0,0,2,0,0,0,0,1,0,0.323
2018,6.23,»ï¼º,0.4,5,1,2,0,0,1,3,0,0,0,0,0,0,0.325
2018,6.24,»ï¼º,0.6,5,2,3,1,0,1,2,0,0,0,0,2,0,0.33
2018,6.26,NC,0.75,4,1,3,1,0,0,0,0,0,0,0,1,0,0.336
2018,6.27,NC,0.333,3,0,1,0,0,0,0,0,0,1,0,1,0,0.336
2018,6.28,NC,0.4,5,1,2,0,0,0,2,0,0,0,0,2,0,0.337
2018,6.29,KIA,0.2,5,2,1,0,0,0,1,0,0,0,0,1,0,0.334
2018,6.3,KIA,0.25,4,1,1,0,0,0,0,0,0,0,1,2,1,0.333
2018,7.04,·Ôµ¥,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0.329
2018,7.05,·Ôµ¥,0.5,4,1,2,1,0,0,1,0,0,0,0,1,0,0.331
2018,7.06,»ï¼º,0.5,6,1,3,0,0,1,4,0,0,0,0,1,0,0.334
2018,7.07,»ï¼º,1,2,1,2,0,0,0,0,0,0,1,1,0,0,0.339
2018,7.08,»ï¼º,0.667,3,0,2,0,0,0,0,0,0,1,0,1,0,0.342
2018,7.1,KT,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0.339
2018,7.11,KT,0.75,4,0,3,0,0,0,1,0,0,1,0,1,0,0.344
2018,7.12,KT,0.25,4,1,1,0,0,1,1,0,0,0,0,0,0,0.342
2018,7.17,·Ôµ¥,0.5,4,1,2,0,0,1,2,0,0,1,0,0,0,0.344
2018,7.18,·Ôµ¥,0.667,3,2,2,0,0,0,0,0,0,1,0,1,0,0.347
2018,7.19,·Ôµ¥,0.333,3,0,1,1,0,0,1,0,0,0,0,1,0,0.347
2018,7.2,LG,0.333,6,2,2,0,0,1,1,0,0,0,0,0,0,0.347
2018,7.21,LG,0.5,6,3,3,1,0,1,1,0,0,0,0,1,0,0.349
2018,7.22,LG,0.2,5,0,1,0,0,0,1,0,0,0,0,2,0,0.347
2018,7.24,SK,0.333,3,0,1,1,0,0,0,0,0,1,0,0,0,0.347
2018,7.25,SK,0.25,4,0,1,1,0,0,0,0,0,0,0,2,0,0.346
2018,7.26,SK,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0.344
2018,7.27,ÇÑÈ­,0.667,3,1,2,0,0,0,0,0,0,1,0,1,0,0.347
2018,7.28,ÇÑÈ­,0.6,5,2,3,1,0,1,3,0,0,0,0,1,0,0.35
2018,7.29,ÇÑÈ­,0.333,3,0,1,0,0,0,0,1,0,1,0,2,0,0.35
2018,7.31,LG,0.2,5,0,1,1,0,0,0,0,0,0,0,1,0,0.348
2018,8.01,LG,0.2,5,1,1,0,0,0,0,0,0,0,0,2,0,0.346
2018,8.02,LG,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.344
2018,8.04,KIA,0.667,3,0,2,1,0,0,0,0,0,0,0,1,0,0.346
2018,8.05,KIA,0.25,4,0,1,0,0,0,0,0,0,0,0,2,0,0.345
2018,8.07,ÇÑÈ­,0.333,3,0,1,0,0,0,0,0,0,1,1,0,0,0.345
2018,8.08,ÇÑÈ­,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.342
2018,8.09,KT,0.2,5,0,1,0,0,0,0,0,0,0,0,1,0,0.34
2018,8.1,KT,0.5,4,0,2,1,0,0,1,0,0,0,0,1,0,0.341
2018,8.12,·Ôµ¥,0.75,4,3,3,1,0,1,2,0,0,2,0,0,0,0.345
2018,8.14,SK,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.342
2018,8.15,SK,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0.34
2018,8.16,³Ø¼¾,0.25,4,0,1,0,0,0,2,0,0,0,0,2,0,0.34
2018,9.04,KIA,0.333,3,0,1,0,0,0,0,0,0,1,0,0,0,0.34
2018,9.05,KIA,0.75,4,1,3,0,0,1,2,0,0,0,0,0,1,0.343
2018,9.06,»ï¼º,0.667,3,1,2,1,0,1,3,0,0,1,0,0,0,0.346
2018,9.07,»ï¼º,0.25,4,2,1,1,0,0,1,0,0,1,0,2,0,0.345
2018,9.08,SK,0.5,4,1,2,0,0,1,1,0,0,0,0,1,0,0.346
2018,9.09,SK,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.343
2018,9.11,·Ôµ¥,0.5,4,2,2,0,0,2,5,0,0,1,0,1,0,0.344
2018,9.12,·Ôµ¥,0.4,5,2,2,0,0,2,5,0,0,0,0,0,0,0.345
2018,9.13,KT,0.5,4,2,2,0,0,0,1,0,0,1,0,2,0,0.346
2018,9.14,KT,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0.344
2018,9.15,NC,0.333,3,0,1,1,0,0,1,0,0,1,1,1,0,0.344
2018,9.16,NC,0.25,4,0,1,0,0,0,1,0,0,0,0,3,0,0.343
