Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,ÇÑÈ­,0.667,3,1,2,2,0,0,1,0,0,1,0,0,0,0.667
2018,3.25,ÇÑÈ­,0.333,3,0,1,0,0,0,0,0,0,0,0,0,0,0.5
2018,3.27,LG,0.5,4,0,2,0,0,0,0,0,0,0,0,0,0,0.5
2018,3.28,LG,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0.385
2018,3.29,LG,0.4,5,2,2,0,0,0,0,0,0,0,0,0,0,0.389
2018,3.3,»ï¼º,0.5,6,2,3,0,0,0,1,0,0,1,0,2,0,0.417
2018,3.31,»ï¼º,0.333,3,2,1,1,0,0,0,0,0,0,1,0,0,0.407
2018,4.01,»ï¼º,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0.367
2018,4.04,KT,0.2,5,1,1,0,0,1,1,0,0,0,0,1,0,0.343
2018,4.05,KT,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0.316
2018,4.06,KIA,0.6,5,0,3,0,0,0,2,0,0,0,0,2,0,0.349
2018,4.07,KIA,0.4,5,0,2,0,0,0,0,0,0,0,0,0,0,0.354
2018,4.08,KIA,0.6,5,0,3,1,0,0,0,0,0,0,0,0,0,0.377
2018,4.1,·Ôµ¥,0.333,3,0,1,1,0,0,1,0,0,2,0,0,0,0.375
2018,4.11,·Ôµ¥,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.35
2018,4.12,·Ôµ¥,0.6,5,2,3,0,0,0,0,0,0,0,0,1,0,0.369
2018,4.13,µÎ»ê,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.348
2018,4.14,µÎ»ê,0.25,4,1,1,0,0,0,0,0,0,1,0,1,0,0.342
2018,4.15,µÎ»ê,0.2,5,1,1,1,0,0,0,0,0,0,0,2,0,0.333
2018,4.17,NC,0.333,6,1,2,0,0,0,0,0,0,0,0,1,0,0.333
2018,4.18,NC,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.318
2018,4.19,NC,0.333,3,1,1,0,0,0,0,0,0,2,0,0,0,0.319
2018,4.2,ÇÑÈ­,0.333,3,1,1,0,0,0,0,0,0,1,1,0,0,0.319
2018,4.21,ÇÑÈ­,0.75,4,1,3,0,0,0,0,1,0,1,0,1,0,0.337
2018,4.22,ÇÑÈ­,0.6,5,1,3,0,0,0,1,0,0,0,0,0,0,0.35
2018,4.24,LG,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0.34
2018,4.25,LG,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0.333
2018,4.26,LG,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.324
2018,4.27,SK,0.2,5,1,1,0,0,0,0,0,0,0,0,1,0,0.319
2018,4.28,SK,0.2,5,1,1,0,0,0,0,0,0,0,0,1,0,0.314
2018,4.29,SK,0.25,4,0,1,0,0,0,1,0,1,0,0,1,0,0.312
2018,5.01,NC,0.6,5,1,3,1,0,0,2,0,0,0,0,0,0,0.323
2018,5.02,NC,0.25,4,1,1,0,0,0,0,0,0,1,0,0,0,0.321
2018,5.03,NC,0.25,4,2,1,0,0,0,0,0,0,1,1,1,0,0.319
2018,5.04,KT,0.2,5,1,1,0,0,1,3,0,0,0,0,2,0,0.315
2018,5.05,KT,0.2,5,1,1,1,0,0,1,0,0,0,0,1,1,0.311
2018,5.08,ÇÑÈ­,0.4,5,0,2,1,0,0,0,1,0,1,0,1,0,0.314
2018,5.09,ÇÑÈ­,0.5,4,0,2,0,0,0,0,0,0,0,0,0,0,0.318
2018,5.1,ÇÑÈ­,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.317
2018,5.11,µÎ»ê,0.5,4,1,2,0,0,0,1,0,0,1,0,0,0,0.321
2018,5.13,µÎ»ê,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0.321
2018,5.3,KIA,0.6,5,0,3,1,0,0,0,0,0,0,0,0,0,0.329
2018,5.31,KIA,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.322
2018,6.01,LG,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.315
2018,6.02,LG,0.4,5,0,2,1,0,0,0,0,0,0,0,1,0,0.317
2018,6.03,LG,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.31
2018,6.05,µÎ»ê,0.4,5,2,2,0,0,1,2,0,0,1,0,0,0,0.313
2018,6.06,µÎ»ê,0.6,5,0,3,1,0,0,1,0,0,0,0,2,0,0.32
2018,6.07,µÎ»ê,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.318
2018,6.08,KT,0.5,6,2,3,1,0,1,2,0,0,0,0,0,0,0.324
2018,6.09,KT,0.25,4,0,1,0,0,0,0,1,0,0,0,1,0,0.322
2018,6.1,KT,0.25,4,2,1,0,0,0,0,0,0,1,0,0,0,0.321
2018,6.12,ÇÑÈ­,0.25,4,1,1,1,0,0,0,0,0,0,0,1,0,0.32
2018,6.13,ÇÑÈ­,0.25,4,1,1,0,0,0,0,0,0,0,0,0,0,0.318
2018,6.14,ÇÑÈ­,0.75,4,1,3,1,0,0,0,0,0,1,0,0,0,0.326
2018,6.15,»ï¼º,0.25,4,1,1,0,0,0,0,0,0,0,1,1,0,0.325
2018,6.16,»ï¼º,0.6,5,0,3,1,0,0,2,0,0,0,0,1,0,0.331
2018,6.17,»ï¼º,0.5,4,2,2,0,0,0,1,1,0,1,0,0,1,0.333
2018,6.19,µÎ»ê,0.25,4,0,1,1,0,0,3,0,0,0,0,0,0,0.332
2018,7.19,LG,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.327
2018,7.2,NC,0.8,5,2,4,0,0,0,1,0,0,0,0,0,0,0.336
2018,7.21,NC,0.333,3,0,1,0,0,0,2,0,0,1,0,1,0,0.336
2018,7.22,NC,0.5,4,2,2,0,0,0,0,0,0,1,0,0,0,0.338
2018,7.24,KT,0.5,4,0,2,0,0,0,0,0,0,2,0,1,0,0.341
2018,7.25,KT,0.75,4,0,3,1,0,0,1,1,0,0,0,0,0,0.347
2018,7.26,KT,0.25,4,0,1,0,0,0,1,0,0,0,0,0,0,0.346
2018,7.27,·Ôµ¥,0.6,5,0,3,1,0,0,0,0,0,0,0,0,0,0.35
2018,7.28,·Ôµ¥,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.349
2018,7.29,·Ôµ¥,0.2,5,0,1,0,0,0,0,0,0,0,0,0,0,0.346
2018,7.31,SK,0.25,4,0,1,0,0,0,1,0,0,0,0,2,0,0.345
2018,8.01,SK,0.333,3,2,1,0,0,0,1,0,0,1,0,1,1,0.345
2018,8.02,SK,0.4,5,0,2,0,1,0,1,0,0,0,0,1,0,0.346
2018,8.04,KT,0.25,4,0,1,0,0,0,0,0,0,0,0,0,1,0.344
2018,8.05,KT,0.286,7,2,2,1,0,0,2,1,0,0,0,0,0,0.343
2018,8.07,KIA,0.8,5,3,4,2,0,1,2,1,0,0,0,0,0,0.35
2018,8.08,KIA,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.349
2018,8.09,ÇÑÈ­,0.333,6,2,2,1,0,0,1,1,0,0,0,1,0,0.349
2018,8.1,ÇÑÈ­,1,4,3,4,2,0,0,2,0,0,0,0,0,0,0.357
2018,8.11,LG,0.833,6,2,5,1,0,0,1,0,0,0,0,0,0,0.366
2018,8.12,LG,0.6,5,2,3,1,0,0,0,0,0,0,0,0,0,0.369
2018,8.14,»ï¼º,0.8,5,1,4,0,0,0,0,0,0,1,0,1,0,0.375
2018,8.15,»ï¼º,0.5,4,0,2,0,0,0,0,0,0,1,0,1,0,0.377
2018,8.16,µÎ»ê,0.5,4,1,2,0,0,0,0,2,0,0,0,0,1,0.378
2018,9.04,SK,0.75,4,1,3,0,0,0,1,0,1,1,0,0,0,0.382
2018,9.05,SK,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0.379
2018,9.06,KIA,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0.374
2018,9.07,KIA,0.2,5,0,1,0,0,0,1,0,0,0,0,0,0,0.372
2018,9.08,KT,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0.366
2018,9.09,KT,0.2,5,0,1,0,0,0,1,0,0,0,0,1,0,0.363
2018,9.11,LG,0.333,3,1,1,0,0,0,0,0,0,1,0,1,0,0.363
2018,9.12,LG,0.4,5,1,2,0,0,0,1,0,0,0,0,1,0,0.364
2018,9.14,NC,0.25,4,0,1,0,0,0,1,0,0,0,0,0,0,0.362
2018,9.15,·Ôµ¥,0.25,4,1,1,1,0,0,1,0,0,0,0,0,0,0.361
2018,9.16,·Ôµ¥,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.358
2018,9.18,µÎ»ê,0.2,5,0,1,0,0,0,1,0,0,0,0,1,0,0.356
2018,9.19,µÎ»ê,0.6,5,2,3,0,0,0,1,0,0,0,0,0,0,0.359
2018,9.2,»ï¼º,0.5,4,1,2,1,0,0,0,0,0,1,0,0,0,0.36
2018,9.21,»ï¼º,0.2,5,0,1,0,0,0,0,0,0,0,0,1,0,0.358
2018,9.22,SK,0.25,4,0,1,0,0,0,0,0,0,1,0,0,0,0.357
2018,9.23,SK,0.25,4,0,1,0,0,0,0,0,1,0,0,1,0,0.356
2018,9.25,µÎ»ê,0.6,5,1,3,1,0,0,0,0,0,0,0,1,0,0.359
2018,9.26,µÎ»ê,1,2,2,2,0,0,1,2,1,0,3,0,0,0,0.362
2018,9.27,·Ôµ¥,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0.359
2018,9.28,·Ôµ¥,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0.356
2018,9.29,NC,0.4,5,1,2,0,0,0,0,0,0,0,0,0,0,0.357
2018,9.3,NC,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0.354
2018,10.06,NC,0.25,4,0,1,1,0,0,2,0,0,1,0,1,0,0.353
2018,10.12,KT,0.6,5,2,3,3,0,0,1,0,0,0,0,0,0,0.356
2018,10.13,»ï¼º,0.25,4,1,1,0,1,0,0,0,0,1,0,0,0,0.355
2017,3.31,LG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4.01,LG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4.02,LG,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,4.04,·Ôµ¥,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0.375
2017,4.06,·Ôµ¥,0.25,4,1,1,0,0,0,0,0,0,0,0,1,0,0.333
2017,4.07,µÎ»ê,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.235
2017,4.08,µÎ»ê,0.6,5,4,3,0,0,2,5,0,0,1,0,0,1,0.318
2017,4.09,µÎ»ê,0.167,6,1,1,0,0,0,1,0,0,0,0,0,1,0.286
2017,4.11,KT,0.4,5,2,2,2,0,0,1,0,0,0,0,0,0,0.303
2017,4.12,KT,0.25,4,2,1,0,0,0,0,0,0,0,0,1,0,0.297
2017,4.13,KT,0.6,5,1,3,0,0,0,0,0,0,0,0,1,0,0.333
2017,4.14,KIA,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.326
2017,4.15,KIA,0.6,5,1,3,1,0,0,1,0,0,0,0,0,0,0.353
2017,4.16,KIA,0.4,5,0,2,0,0,0,1,0,0,0,0,2,0,0.357
2017,4.18,SK,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0.339
2017,4.19,SK,0.25,4,1,1,0,0,0,0,0,0,0,0,0,0,0.333
2017,4.2,SK,0.2,5,1,1,0,0,0,0,0,0,0,0,1,0,0.324
2017,4.21,·Ôµ¥,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0.306
