Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,µÎ»ê,0.25,4,0,1,0,0,0,0,0,0,0,0,3,0,0.25
2018,3.25,µÎ»ê,0.5,4,1,2,0,0,0,0,0,0,0,0,0,0,0.375
2018,3.27,KIA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.333
2018,3.28,KIA,0.2,5,1,1,0,0,0,0,1,0,0,0,2,0,0.286
2018,3.29,KIA,0.333,3,0,1,0,0,0,0,1,1,1,0,0,0,0.294
2018,3.3,³Ø¼¾,0.333,6,2,2,0,1,0,1,1,0,0,1,1,0,0.304
2018,3.31,³Ø¼¾,0.25,4,1,1,0,0,0,0,0,0,0,0,1,0,0.296
2018,4.01,³Ø¼¾,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0.25
2018,4.03,NC,0.167,6,1,1,0,1,0,0,0,0,0,0,3,1,0.237
2018,4.04,NC,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0.22
2018,4.05,NC,-,0,1,0,0,0,0,0,1,0,0,0,0,0,0.22
2018,4.07,SK,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0.205
2018,4.08,SK,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.196
2018,4.1,µÎ»ê,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.18
2018,4.11,µÎ»ê,0.2,5,1,1,0,1,0,0,0,0,0,0,0,0,0.182
2018,4.12,µÎ»ê,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0.172
2018,4.13,ÇÑÈ­,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.169
2018,4.14,ÇÑÈ­,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.167
2018,4.15,ÇÑÈ­,0.75,4,1,3,0,0,1,1,0,0,0,0,0,0,0.203
2018,4.17,·Ôµ¥,0.6,5,2,3,1,0,0,3,0,0,0,0,0,0,0.232
2018,4.18,·Ôµ¥,0.333,6,2,2,0,0,0,0,0,0,0,0,1,1,0.24
2018,4.19,·Ôµ¥,0.5,4,0,2,0,0,0,2,0,0,1,0,0,1,0.253
2018,4.2,KT,0.25,4,1,1,0,0,0,0,0,0,0,0,0,0,0.253
2018,4.21,KT,0.5,2,1,1,0,0,0,0,1,0,3,0,0,0,0.259
2018,4.22,KT,0.5,4,1,2,0,0,0,0,2,0,1,0,1,0,0.27
2018,4.24,NC,0.25,4,2,1,0,0,0,1,2,0,1,0,0,0,0.269
2018,4.25,NC,0.2,5,0,1,1,0,0,0,0,0,0,0,0,0,0.265
2018,4.26,NC,0.25,4,0,1,0,0,0,0,0,1,1,0,1,0,0.265
2018,4.27,LG,0.4,5,2,2,0,0,0,0,0,0,0,0,0,0,0.271
2018,4.28,LG,0.75,4,1,3,0,1,0,1,0,0,1,0,0,0,0.288
2018,4.29,LG,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0.276
2018,5.01,SK,0.5,4,1,2,1,0,0,1,0,0,0,0,0,0,0.283
2018,5.02,SK,0.2,5,0,1,0,0,0,0,0,0,0,0,1,0,0.28
2018,5.03,SK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.278
2018,5.04,ÇÑÈ­,0.5,4,0,2,1,0,0,0,1,0,0,0,0,1,0.285
2018,5.05,ÇÑÈ­,0.25,4,2,1,0,0,1,2,0,0,1,0,1,0,0.284
2018,5.08,KT,0.5,4,1,2,0,0,0,0,1,0,1,0,1,0,0.29
2018,5.09,KT,0.4,5,0,2,0,0,0,1,0,0,0,0,1,0,0.294
2018,5.1,KT,0.167,6,1,1,1,0,0,0,0,0,0,0,0,0,0.289
2018,5.11,KIA,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0.281
2018,5.13,KIA,0.2,5,0,1,0,0,0,0,0,0,0,0,1,0,0.278
2018,5.15,LG,0.667,3,1,2,0,0,0,0,0,0,0,0,0,0,0.286
2018,5.16,LG,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0.28
2018,5.17,LG,0.25,4,0,1,0,0,0,0,1,0,0,0,1,0,0.28
2018,5.18,³Ø¼¾,0.75,4,2,3,1,0,0,1,0,1,0,1,0,0,0.291
2018,5.19,³Ø¼¾,0.5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.295
2018,5.2,³Ø¼¾,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0.287
2018,5.22,·Ôµ¥,0.25,4,0,1,0,0,0,1,0,0,0,0,0,0,0.286
2018,5.23,·Ôµ¥,0.2,5,0,1,0,0,0,0,0,1,0,0,1,0,0.284
2018,5.24,·Ôµ¥,0.6,5,1,3,0,0,1,2,0,1,0,0,0,0,0.292
2018,5.25,µÎ»ê,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0.286
2018,5.26,µÎ»ê,0.667,3,0,2,0,0,0,1,0,1,0,0,0,0,0.292
2018,5.27,µÎ»ê,0.25,4,0,1,0,0,0,0,0,0,0,0,0,0,0.291
2018,5.29,KT,0.6,5,2,3,0,0,0,0,0,0,0,0,0,0,0.299
2018,5.3,KT,0.5,4,2,2,0,0,1,2,1,0,0,0,0,0,0.302
2018,5.31,KT,0.25,4,1,1,0,0,0,0,0,0,0,0,1,0,0.301
2018,6.01,NC,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0.295
2018,6.02,NC,0.5,4,1,2,1,0,0,2,0,0,0,0,0,0,0.298
2018,6.03,NC,0.5,4,2,2,1,1,0,3,0,0,1,0,0,0,0.302
2018,6.05,SK,0.25,4,0,1,0,0,0,2,0,0,0,0,0,0,0.301
2018,6.06,SK,0.5,4,1,2,1,0,0,0,0,0,0,0,0,1,0.304
2018,6.07,SK,0.2,5,1,1,0,1,0,0,0,0,0,0,1,0,0.302
2018,6.08,LG,0.2,5,1,1,1,0,0,0,0,0,0,0,2,0,0.3
2018,6.09,LG,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.298
2018,6.1,LG,0.6,5,2,3,1,0,0,3,1,0,0,0,1,0,0.304
2018,6.12,·Ôµ¥,0.5,4,1,2,0,0,0,0,1,0,1,0,0,0,0.307
2018,6.13,·Ôµ¥,0.5,4,3,2,0,0,0,1,1,0,2,0,1,0,0.309
2018,6.14,·Ôµ¥,0.2,5,2,1,1,0,0,3,0,0,1,0,1,0,0.307
2018,6.15,³Ø¼¾,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.306
2018,6.16,³Ø¼¾,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0.303
2018,6.17,³Ø¼¾,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0.308
2018,6.19,SK,0.5,2,1,1,0,0,0,1,0,0,0,0,0,0,0.309
2018,6.2,SK,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0.305
