Year,Month,»ó´ë,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
2018,3.24,·Ôµ¥,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0
2018,3.25,·Ôµ¥,0.25,4,0,1,0,0,0,0,0,0,0,0,1,0,0.125
2018,3.27,KT,0.5,4,0,2,0,0,0,0,0,0,1,0,0,0,0.25
2018,3.28,KT,0.5,4,3,2,0,0,1,2,0,0,0,0,0,0,0.313
2018,3.29,KT,0.333,3,1,1,0,0,0,0,0,0,1,0,0,0,0.316
2018,3.3,ÇÑÈ­,1,2,3,2,0,0,1,2,0,0,2,0,0,0,0.381
2018,3.31,ÇÑÈ­,0.4,5,2,2,0,0,1,4,0,0,0,0,3,0,0.385
2018,4.01,ÇÑÈ­,0.25,4,2,1,0,0,1,1,1,0,2,0,1,0,0.367
2018,4.03,KIA,0.5,4,2,2,0,0,1,3,0,0,0,1,2,0,0.382
2018,4.04,KIA,0.2,5,1,1,0,0,1,3,0,0,0,0,3,0,0.359
2018,4.07,»ï¼º,0.4,5,1,2,1,0,0,1,0,0,0,0,2,0,0.364
2018,4.08,»ï¼º,0.333,3,0,1,0,0,0,1,0,0,1,0,1,0,0.362
2018,4.1,LG,0.4,5,1,2,0,0,0,0,0,0,0,0,3,0,0.365
2018,4.11,LG,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0.345
2018,4.12,LG,0.25,4,1,1,1,0,0,1,0,0,0,0,2,0,0.339
2018,4.13,NC,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0.333
2018,4.14,NC,1,4,1,4,1,0,1,4,0,0,0,0,0,0,0.375
2018,4.15,NC,0.75,4,1,3,0,0,0,0,0,0,0,0,1,0,0.397
2018,4.17,KT,0.4,5,2,2,0,0,2,3,0,0,0,0,3,0,0.397
2018,4.18,KT,0.6,5,2,3,1,0,1,2,0,0,0,0,1,0,0.41
2018,4.19,KT,0.333,3,1,1,0,0,1,2,0,0,1,0,2,0,0.407
2018,4.2,·Ôµ¥,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0.402
2018,4.21,·Ôµ¥,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0.384
2018,4.24,µÎ»ê,0.333,3,1,1,1,0,0,1,0,0,0,0,0,0,0.382
2018,4.25,µÎ»ê,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0.366
