순위,선수명,팀명,AVG,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,SB,CS,year
21,나성범,NC,0.318,556,110,177,36,3,23,91,44,15,131,11,15,2,2018
30,로하스,KT,0.305,564,114,172,30,1,43,114,71,7,142,10,18,13,2018
35,박해민,삼성,0.299,576,114,172,30,10,9,68,56,3,99,9,36,10,2018
50,오지환,LG,0.278,533,93,148,26,2,11,71,59,7,146,6,10,5,2018
11,이대호,롯데,0.333,543,81,181,30,0,37,125,43,14,75,18,0,1,2018
6,전준우,롯데,0.342,556,118,190,36,2,33,90,48,7,82,12,7,7,2018
8,최형우,KIA,0.339,528,92,179,34,1,25,103,66,7,87,17,3,0,2018
59,스크럭스,NC,0.257,501,75,129,35,0,26,97,55,12,144,14,3,2,2018
29,호잉,한화,0.306,529,85,162,47,2,30,110,51,5,93,5,23,9,2018
38,황재균,KT,0.296,530,76,157,41,3,25,88,49,4,120,5,14,7,2018
34,김헌곤,삼성,0.3,513,77,154,26,2,11,71,54,10,70,13,22,9,2018
23,로맥,SK,0.316,528,102,167,19,0,43,107,72,10,123,7,10,5,2018
17,손아섭,롯데,0.329,553,109,182,32,5,26,93,68,2,99,15,20,3,2018
60,하주석,한화,0.254,484,67,123,20,3,9,52,28,4,130,7,14,12,2018
56,양석환,LG,0.263,483,53,127,27,0,22,82,24,6,81,9,2,2,2018
10,김재환,두산,0.334,527,104,176,36,1,44,133,59,9,134,6,2,0,2018
41,신본기,롯데,0.294,425,55,125,28,1,11,71,33,11,95,12,1,5,2018
14,채은성,LG,0.331,529,78,175,36,2,25,119,35,9,97,12,3,1,2018
44,강백호,KT,0.29,527,108,153,32,2,29,84,52,3,124,4,3,5,2018
11,최주환,두산,0.333,519,87,173,39,6,26,108,51,10,89,5,1,0,2018
15,러프,삼성,0.33,506,97,167,32,4,33,125,65,18,107,17,5,3,2018
53,김혜성,넥센,0.27,430,79,116,15,6,5,45,33,5,119,6,31,6,2018
46,한동민,SK,0.284,486,97,138,31,0,41,115,52,16,124,10,4,2,2018
51,김성현,SK,0.277,415,51,115,19,1,4,55,29,9,42,19,6,2,2018
26,노수광,SK,0.313,515,93,161,21,8,8,53,48,13,86,3,25,4,2018
58,박경수,KT,0.262,458,65,120,21,0,25,74,58,9,129,16,4,1,2018
31,박용택,LG,0.303,524,89,159,38,1,15,76,47,5,107,21,3,3,2018
42,이용규,한화,0.293,491,82,144,14,1,1,36,59,12,62,8,30,11,2018
43,임병욱,넥센,0.293,423,76,124,29,3,13,60,22,0,119,6,16,3,2018
55,번즈,롯데,0.268,462,80,124,34,5,23,64,33,9,133,8,5,2,2018
2,양의지,두산,0.358,439,84,157,29,1,23,77,45,13,40,13,6,0,2018
19,허경민,두산,0.324,516,85,167,30,5,10,79,32,16,52,15,20,4,2018
25,오재원,두산,0.313,473,78,148,24,1,15,81,41,2,119,13,15,6,2018
37,유강남,LG,0.296,425,53,126,33,0,19,66,28,9,80,21,0,0,2018
52,윤석민,KT,0.276,460,58,127,22,0,19,60,40,4,69,17,4,1,2018
27,김재호,두산,0.311,402,78,125,20,0,16,75,52,4,77,12,6,2,2018
28,버나디나,KIA,0.31,513,106,159,25,3,20,70,63,10,103,9,32,13,2018
39,이성열,한화,0.295,485,76,143,21,1,34,102,35,5,143,9,9,7,2018
5,안치홍,KIA,0.342,494,88,169,38,1,23,118,36,10,57,13,5,1,2018
